airquality, clear, red, green, blue, illuminance, timestamp
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 00:57:52.295101+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:58:02.316238+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:58:12.337243+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:58:22.358432+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:58:32.379653+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:58:42.401070+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:58:52.417728+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 00:59:02.438950+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:59:12.460275+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 00:59:22.481554+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:59:32.502683+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:59:42.523797+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 00:59:52.544415+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:00:02.565547+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:00:12.586613+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:00:22.602404+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 01:00:32.623529+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:00:42.644664+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 01:00:52.657766+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:01:02.679000+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 01:01:12.700267+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:01:22.716070+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:01:32.737203+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:01:42.758376+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:01:52.772540+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:02:02.793659+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-21 01:02:12.814733+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 01:02:22.827765+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 01:02:32.847718+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 01:02:42.868973+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 01:02:52.890284+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:03:02.911498+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:03:12.932749+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 01:03:22.953945+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:03:32.975065+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:03:43.002519+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 01:03:53.023638+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 01:04:03.044845+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:04:13.057822+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:04:23.079027+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:04:33.100597+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:04:43.122416+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:04:53.143668+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 01:05:03.164800+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:05:13.185935+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:05:23.207053+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 01:05:33.223272+05:30
